"fecha";"Run Fondo";"Serie";"Período";"Rentabilidad"
2023-02-04;"8795";APV1;YTD;-0.033445717654197904
2023-02-05;"8795";APV1;"1M";-0.013398809575014936
2023-02-05;"8795";APV1;"3M";-0.334736627726234
2023-02-05;"8795";APV1;"6M";-0.12650169315827853
2023-02-05;"8795";APV1;"1Y";-0.006168548115553563
2023-02-05;"8795";APV1;YTD;-0.03351424253945423
2023-02-06;"8795";APV1;"1M";-0.04616728549416638
2023-02-06;"8795";APV1;"3M";-0.3290855580776463
2023-02-06;"8795";APV1;"6M";-0.11907433126186806
2023-02-06;"8795";APV1;"1Y";0.0023531474560491983
2023-02-06;"8795";APV1;YTD;-0.025370918218286742
2023-02-07;"8795";APV1;"1M";-0.06301940707885745
2023-02-07;"8795";APV1;"3M";-0.28426146687390574
2023-02-07;"8795";APV1;"6M";-0.13463589554098787
2023-02-07;"8795";APV1;"1Y";-0.031824153653674414
2023-02-07;"8795";APV1;YTD;-0.042661142511545624
2023-02-08;"8795";APV1;"1M";-0.058874845565891176
2023-02-08;"8795";APV1;"3M";-0.26766453431178705
2023-02-08;"8795";APV1;"6M";-0.16214620480859554
2023-02-08;"8795";APV1;"1Y";-0.040411497646233085
2023-02-08;"8795";APV1;YTD;-0.03849751669974921
2023-02-09;"8795";APV1;"1M";-0.071036592908169
2023-02-09;"8795";APV1;"3M";-0.2552061337221738
2023-02-09;"8795";APV1;"6M";-0.16644934888572427
2023-02-09;"8795";APV1;"1Y";-0.07822364276749771
2023-02-09;"8795";APV1;YTD;-0.06209389818059341
2023-02-10;"8795";APV1;"1M";-0.08730846001853276
2023-02-10;"8795";APV1;"3M";-0.1617057584340399
2023-02-10;"8795";APV1;"6M";-0.18143844939671416
2023-02-10;"8795";APV1;"1Y";-0.04893231462108494
2023-02-10;"8795";APV1;YTD;-0.05150961293017042
2023-02-11;"8795";APV1;"1M";-0.10697527898927806
2023-02-11;"8795";APV1;"3M";-0.17807094087643072
2023-02-11;"8795";APV1;"6M";-0.1573424107815241
2023-02-11;"8795";APV1;"1Y";-0.06783360769367597
2023-02-11;"8795";APV1;YTD;-0.05157704923296891
2023-02-12;"8795";APV1;"1M";-0.13026461373366538
2023-02-12;"8795";APV1;"3M";-0.17807078588274738
2023-02-12;"8795";APV1;"6M";-0.21340556401590038
2023-02-12;"8795";APV1;"1Y";-0.06777190795960741
2023-02-12;"8795";APV1;YTD;-0.0516459522599515
2023-02-13;"8795";APV1;"1M";-0.11043413186667239
2023-02-13;"8795";APV1;"3M";-0.16177483470958276
2023-02-13;"8795";APV1;"6M";-0.19781163030583582
2023-02-13;"8795";APV1;"1Y";-0.04929122619148052
2023-02-13;"8795";APV1;YTD;-0.03291389244735177
2023-02-14;"8795";APV1;"1M";-0.13135635317886607
2023-02-14;"8795";APV1;"3M";-0.21218290227712377
2023-02-14;"8795";APV1;"6M";-0.2166778471268509
2023-02-14;"8795";APV1;"1Y";-0.07240451917206192
2023-02-14;"8795";APV1;YTD;-0.05572518163687146
2023-02-15;"8795";APV1;"1M";-0.1139413423654595
2023-02-15;"8795";APV1;"3M";-0.17611327326436854
2023-02-15;"8795";APV1;"6M";-0.20097258373772509
2023-02-15;"8795";APV1;"1Y";-0.062429581895701025
2023-02-15;"8795";APV1;YTD;-0.036861163226537985
2023-02-16;"8795";APV1;"1M";-0.062166161086088856
2023-02-16;"8795";APV1;"3M";-0.1346385364656928
2023-02-16;"8795";APV1;"6M";-0.17261073579966268
2023-02-16;"8795";APV1;"1Y";-0.052396660229542924
2023-02-16;"8795";APV1;YTD;-0.015897799972517945
2023-02-17;"8795";APV1;"1M";-0.0821505074174419
2023-02-17;"8795";APV1;"3M";-0.14021564568446798
2023-02-17;"8795";APV1;"6M";-0.19127089546547194
2023-02-17;"8795";APV1;"1Y";-0.017125201772137055
2023-02-17;"8795";APV1;YTD;-0.01874263078751326
2023-02-18;"8795";APV1;"1M";-0.06205961120411585
2023-02-18;"8795";APV1;"3M";-0.16700675093826645
2023-02-18;"8795";APV1;"6M";-0.2148393523218447
2023-02-18;"8795";APV1;"1Y";-0.0000131022975034
2023-02-18;"8795";APV1;YTD;-0.01880975222375947
2023-02-19;"8795";APV1;"1M";-0.08663322387504946
2023-02-19;"8795";APV1;"3M";-0.16700448685518254
2023-02-19;"8795";APV1;"6M";-0.23260647868266382
2023-02-19;"8795";APV1;"1Y";-0.0000191457428452
2023-02-19;"8795";APV1;YTD;-0.0188789410809993
2023-02-20;"8795";APV1;"1M";-0.07654368848547055
2023-02-20;"8795";APV1;"3M";-0.1679802613942365
2023-02-20;"8795";APV1;"6M";-0.2335068965602819
2023-02-20;"8795";APV1;"1Y";-0.0011955126073479594
2023-02-20;"8795";APV1;YTD;-0.02010237064014153
2023-02-21;"8795";APV1;"1M";-0.0731992085702391
2023-02-21;"8795";APV1;"3M";-0.21490358686816913
2023-02-21;"8795";APV1;"6M";-0.2307266226930872
2023-02-21;"8795";APV1;"1Y";0.0009324089356362
2023-02-21;"8795";APV1;YTD;-0.016620516674968555
2023-02-22;"8795";APV1;"1M";-0.09151472213609457
2023-02-22;"8795";APV1;"3M";-0.20874012423188204
2023-02-22;"8795";APV1;"6M";-0.24394388266863287
2023-02-22;"8795";APV1;"1Y";-0.035332297779954724
2023-02-22;"8795";APV1;YTD;-0.036122026365123294
2023-02-23;"8795";APV1;"1M";-0.06530236077220775
2023-02-23;"8795";APV1;"3M";-0.16804188100023199
2023-02-23;"8795";APV1;"6M";-0.2336120978319428
2023-02-23;"8795";APV1;"1Y";0.01322618776470108
2023-02-23;"8795";APV1;YTD;-0.015653713078162657
2023-02-24;"8795";APV1;"1M";-0.0699015916975444
2023-02-24;"8795";APV1;"3M";-0.1863838557102302
2023-02-24;"8795";APV1;"6M";-0.21391835293049022
2023-02-24;"8795";APV1;"1Y";0.00367096097208619
2023-02-24;"8795";APV1;YTD;-0.01691120712944627
2023-02-25;"8795";APV1;"1M";-0.0934594360139902
2023-02-25;"8795";APV1;"3M";-0.15435080935806278
2023-02-25;"8795";APV1;"6M";-0.21699587532431142
2023-02-25;"8795";APV1;"1Y";-0.023408828206234356
2023-02-25;"8795";APV1;YTD;-0.016980631593451534
2023-02-26;"8795";APV1;"1M";-0.0972523950553088
2023-02-26;"8795";APV1;"3M";-0.15435093280406054
2023-02-26;"8795";APV1;"6M";-0.19285246435114678
2023-02-26;"8795";APV1;"1Y";-0.02341510372568556
2023-02-26;"8795";APV1;YTD;-0.017052347243032284
2023-02-27;"8795";APV1;"1M";-0.04935415385840547
2023-02-27;"8795";APV1;"3M";-0.12748305623453915
2023-02-27;"8795";APV1;"6M";-0.16721199212746207
2023-02-27;"8795";APV1;"1Y";0.00768015776969877
2023-02-27;"8795";APV1;YTD;0.014101812871564867
2023-02-28;"8795";APV1;"1M";-0.06654670834962573
2023-02-28;"8795";APV1;"3M";-0.1374513331085827
2023-02-28;"8795";APV1;"6M";-0.1822760698571908
2023-02-28;"8795";APV1;"1Y";-0.0062604185541674795
2023-02-28;"8795";APV1;YTD;-0.004313620027223464
2023-03-01;"8795";APV1;"1M";-0.057473125291592764
2023-03-01;"8795";APV1;"3M";-0.16229047670434749
2023-03-01;"8795";APV1;"6M";-0.11756857614506533
2023-03-01;"8795";APV1;"1Y";-0.026719538420662436
2023-03-01;"8795";APV1;YTD;-0.017857126556131364
2023-03-02;"8795";APV1;"1M";-0.03427974746944462
2023-03-02;"8795";APV1;"3M";-0.16461687518055845
2023-03-02;"8795";APV1;"6M";-0.13906988776815432
2023-03-02;"8795";APV1;"1Y";-0.0702645989391184
2023-03-02;"8795";APV1;YTD;-0.03143155083200899
